,player_id,pretty_name,club_id,club_pretty_name,current_club_id,country_of_citizenship,country_of_birth,date_of_birth,position,sub_position,name,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,agent_name,contract_expiration_date,domestic_competition_id,club_name,image_url,last_season,url,new_id
0,254016,Arthur Delalande,855,Ea Guingamp,855,France,France,1992-05-18,Midfield,Central Midfield,arthur-delalande,Right,186,,90000.0,,,FR1,ea-guingamp,,2013,https://www.transfermarkt.co.uk/arthur-delalande/profil/spieler/254016,Arthur
1,51053,Daniel Davari,23,Eintracht Braunschweig,23,Iran,Germany,1988-01-06,Goalkeeper,,daniel-davari,Right,192,135000.0,1130000.0,NG360,2022-06-30,L1,eintracht-braunschweig,,2013,https://www.transfermarkt.co.uk/daniel-davari/profil/spieler/51053,Ari
2,31451,Torsten Oehrl,23,Eintracht Braunschweig,23,Germany,Germany,1986-01-07,Attack,Centre-Forward,torsten-oehrl,Right,192,,1130000.0,,,L1,eintracht-braunschweig,,2013,https://www.transfermarkt.co.uk/torsten-oehrl/profil/spieler/31451,Daley Blind
4,30802,Oscar Diaz,3302,Ud Almeria,3302,Spain,Spain,1984-04-24,Attack,Centre-Forward,oscar-diaz,Right,183,,1080000.0,Pedro Bravo - Consulting,2022-06-30,ES1,ud-almeria,,2013,https://www.transfermarkt.co.uk/oscar-diaz/profil/spieler/30802,Oscar
6,117549,Rodri Rios,3302,Ud Almeria,3302,Spain,Spain,1990-06-06,Attack,Centre-Forward,rodri-rios,Right,174,270000.0,1800000.0,,2022-06-30,ES1,ud-almeria,,2013,https://www.transfermarkt.co.uk/rodri-rios/profil/spieler/117549,Rodri
7,186796,Hicham Khaloua,3302,Ud Almeria,3302,Morocco,Spain,1995-05-07,Attack,Second Striker,hicham-khaloua,Right,174,360000.0,360000.0,ILUSION SPORT,2023-06-30,ES1,ud-almeria,,2013,https://www.transfermarkt.co.uk/hicham-khaloua/profil/spieler/186796,Hicham Mahou
21,121327,Matthew Fletcher,3008,Hull City,3008,Australia,Australia,1992-06-01,Attack,Centre-Forward,matthew-fletcher,Both,181,,135000.0,,2022-09-30,GB1,hull-city,,2013,https://www.transfermarkt.co.uk/matthew-fletcher/profil/spieler/121327,Ashley Fletcher
23,104941,Gedo,3008,Hull City,3008,Egypt,Egypt,1984-10-30,Attack,Second Striker,gedo,Right,184,,1800000.0,Starr & Int.,,GB1,hull-city,,2013,https://www.transfermarkt.co.uk/gedo/profil/spieler/104941,Daley Blind
24,73566,Cameron Stewart,3008,Hull City,3008,England,England,1991-04-08,Attack,Left Winger,cameron-stewart,Right,172,,675000.0,YMU Group,,GB1,hull-city,,2013,https://www.transfermarkt.co.uk/cameron-stewart/profil/spieler/73566,Cameron Borthwick-Jackson
25,45631,Aaron Mclean,3008,Hull City,3008,England,England,1983-05-25,Attack,Centre-Forward,aaron-mclean,Right,171,,1130000.0,Pro Sport Connect,,GB1,hull-city,,2013,https://www.transfermarkt.co.uk/aaron-mclean/profil/spieler/45631,Aaron Mattia Tabacchi
